dataid,Energy_Audit__c,Duct_Leakage_Evaluation__c,Type__c,Fuel_Type__c,Manufacturer__c,Manufacturer_Other__c,Model__c,Model_Other__c,Manufacturing_Year__c,Location_of_Air_Handler__c,Type_of_Air_Handler__c,Gallons__c,Notes__c,BTUs__c,Seasonal_Energy_Efficiency_Rating__c,Annual_Fuel_Utilization_Efficiency__c,Combustion_Air_Provided__c,Timer_Attached__c,Water_Saving__c,Grill_in_Door__c,Closet_Door_Weatherstripped__c,Voltage__c,Amperage__c,Ice_Water_Dispenser_on_Door__c,Compartment_Configuration__c,Refrigerator_Coils__c,Water_Heater_Setpoint__c
7982,a0RG000000P8BB2MAN,a0SG000000Gecs5MAB,Air Condenser/Compressor,Electric,Carrier,,24ABA430A310,,2007,,,,,30000,14.00,,0,0,0,0,0,240,18.7,0,,,
7982,a0RG000000P8BB2MAN,,Refrigerator,Electric,LG,,LFX25960ST,,2007,,,,,,,,0,0,0,0,0,120,6.2,1,French Doors (Bottom Freezer),Underneath the Unit,
7982,a0RG000000P8BB2MAN,,Oven,Electric,Whirlpool,,GBS307PRS01,,2007,,,,,,,,0,0,0,0,0,240,21.6,0,,,
7982,a0RG000000P8BB2MAN,,Microwave,Electric,Whirlpool,,,GT4175SPS,2007,,,,,,,,0,0,0,0,0,120,13.8,0,,,
7982,a0RG000000P8BB2MAN,,Dishwasher,Electric,Whirlpool,,GU2455XTSS3,,2007,,,,,,,,0,0,0,0,0,120,9.6,0,,,
7982,a0RG000000P8BB2MAN,,Clotheswasher,Electric,LG,,WM2016CW,,2007,,,,,,,,0,0,0,0,0,120,5.0,0,,,
7982,a0RG000000P8BB2MAN,,Dryer,Gas,LG,,DLG2526W,,2007,,,,,,,,0,0,0,0,0,120,5.0,0,,,
7982,a0RG000000P8BB2MAN,,Water Heater,Gas,State Select,,GS650YBRT,,2007,,,50.00,"Gas appliance, no voltage, amperage, or wattage.",40000,,,1,0,0,0,0,,,0,,,120
7982,a0RG000000P8BB2MAN,a0SG000000Gecs5MAB,Furnace/Air Handler,Gas,Carrier,,58STA070-13112,,2007,Attic,Horizontal,,"120V, amperage and wattage not listed on label.",66000,,80.00,0,0,0,0,0,,,0,,,
9654,a0RG000000PosbKMAR,a0SG000000GeuRJMAZ,Air Condenser/Compressor,Electric,Rheem,,,FADC-030JAS,2000,,,,,30000,10.00,,0,0,0,0,0,240,19.0,0,,,
9654,a0RG000000PosbKMAR,a0SG000000GeuRJMAZ,Furnace/Air Handler,Gas,Rheem,,,Criterion,Pre-1993,Closet,Up Flow,,No Furnace or Air Handler Label visible.,,,,0,0,0,0,0,,,0,,,
9654,a0RG000000PosbKMAR,,Range,Gas,Kenmore,,,790.75403500,2005,,,,,,,,0,0,0,0,0,120,15.0,0,,,
9654,a0RG000000PosbKMAR,,Dishwasher,Electric,Kenmore,,,63017303402,2006,,,,,,,,0,0,0,0,0,120,12.0,0,,,
9654,a0RG000000PosbKMAR,,Refrigerator,Electric,Kenmore,,,79576283600,2007,,,,,,,,0,0,0,0,0,120,3.5,0,Freezer on Bottom,Underneath the Unit,
9654,a0RG000000PosbKMAR,,Clotheswasher,Electric,Whirlpool,,,GHW9400PL4,2006,,,,,,,,0,0,0,0,0,120,12.0,0,,,
9654,a0RG000000PosbKMAR,,Dryer,Electric,Whirlpool,,,GEW9250PL1,2006,,,,,,,,0,0,0,0,0,240,24.0,0,,,
9654,a0RG000000PosbKMAR,,Water Heater,Gas,GE,,,GG30T06AVJ00,2006,,,29.00,"Gas appliance, no voltage, amperage, or wattage.",32000,,,1,0,0,0,0,,,0,,,Warm
9932,a0RG000000PowaaMAB,a0SG000000GeveGMAR,Air Condenser/Compressor,Electric,Carrier,,,38TDB04B300,2005,,,,,48000,15.00,,0,0,0,0,0,240,26.0,0,,,
9932,a0RG000000PowaaMAB,,Clotheswasher,Electric,Kenmore,,,79640272900,2010,,,,,,,,0,0,0,0,0,120,10.0,0,,,
9932,a0RG000000PowaaMAB,,Dryer,Gas,Maytag,,,LDG9824AAE,1994,,,,,22000,,,0,0,0,0,0,120,6.0,0,,,
9932,a0RG000000PowaaMAB,,Dishwasher,Electric,Bosch,,,SHU66CO2,Post-1993,,,,Dishwasher from approximately 2012.,,,,0,0,0,0,0,120,11.3,0,,,
9932,a0RG000000PowaaMAB,a0SG000000GeveGMAR,Furnace/Air Handler,Electric,Ruud,,,CNPVP4821ATAABAA,2008,Closet,Up Flow,,120V Air handler/furnace. Label not accessible for furnace.,,,,0,0,0,0,0,,,0,,,
9932,a0RG000000PowaaMAB,,Oven,Electric,GE,,JKP15W0W2WW,,1998,,,,,,,,0,0,0,0,0,240,14.1,0,,,
9932,a0RG000000PowaaMAB,,Refrigerator,Electric,Kenmore,,,10656542400,2004,,,,,,,,0,0,0,0,0,120,6.5,1,Side-by-Side,Behind the Unit,
9932,a0RG000000PowaaMAB,,Microwave,Electric,GE,,,JE1540WW03,1997,,,,,,,,0,0,0,0,0,120,12.5,0,,,
9343,a0RG000000Ppwc4MAB,,Microwave,Electric,GE,,,JVM1740DM1WW,2006,,,,,,,,0,0,0,0,0,120,13.1,,,,
9932,a0RG000000PowaaMAB,,Water Heater,Gas,Rheem,,,SG50T12HVG00,2007,,,50.00,"Gas appliance, no voltage, amperage, or wattage. Label inaccessible.",,,,1,0,0,1,1,,,0,,,Between warm and hot
4957,a0RG000000PpEuAMAV,a0SG000000GeyxQMAR,Air Condenser/Compressor,Electric,Lennox,,,13ACD-048-230-02,2006,,,,,48000,13.00,,0,0,0,0,0,240,25.7,0,,,
4957,a0RG000000PpEuAMAV,a0SG000000GeyyTMAR,Air Condenser/Compressor,Electric,Lennox,,,13ACD-030-230-02,2006,,,,,30000,13.00,,0,0,0,0,0,240,18.7,0,,,
4957,a0RG000000PpEuAMAV,,Clotheswasher,Electric,LG,,,WM3070HRA,2012,,,0.00,,0,,,0,0,0,0,0,120,10.0,0,,,
4957,a0RG000000PpEuAMAV,,Dryer,Electric,LG,,,DLEX3070R,2012,,,0.00,,0,,,0,0,0,0,0,240,26.0,0,,,
4957,a0RG000000PpEuAMAV,,Dishwasher,Electric,Whirlpool,,,GU2455XTSS0,2006,,,,,,,,0,0,0,0,0,120,9.8,,,,
4957,a0RG000000PpEuAMAV,a0SG000000GeyxQMAR,Furnace/Air Handler,Gas,Lennox,,Inaccessible,,2006,Attic,Horizontal,,"120V air handler/gas furnace, label inaccessible",,,,0,0,0,0,0,,,0,,,
4957,a0RG000000PpEuAMAV,a0SG000000GeyyTMAR,Furnace/Air Handler,Gas,Lennox,,,,2006,Attic,Horizontal,,"120V air handler/gas furnace, label inaccessible",,,,0,0,0,0,0,,,0,,,
4957,a0RG000000PpEuAMAV,,Microwave,Electric,Whirlpool,,GT4175SPS-2,,2006,,,,,,,,0,0,0,0,0,120,13.8,0,,,
4957,a0RG000000PpEuAMAV,,Oven,Electric,Whirlpool,,GBS307PRS01,,2006,,,N/A,,N/A,,,0,0,0,0,0,240,33.8,0,,,
4957,a0RG000000PpEuAMAV,,Refrigerator,Electric,KitchenAid,,,KSCS25INSS00,2005,,,,,,,,0,0,0,0,0,120,6.5,1,Side-by-Side,Underneath the Unit,
4957,a0RG000000PpEuAMAV,,Water Heater,Gas,Rheem,,22V40SF1,,2006,,,40.00,"Gas appliance, no voltage or amperage. Setpoint not recorded.",38000,,,1,0,0,0,0,,,0,,,
4957,a0RG000000PpEuAMAV,,Water Heater,Gas,Rheem,,22V40SF1,,2006,,,40.00,"Gas appliance, no voltage or amperage. Setpoint not recorded.",38000,,,1,0,0,0,0,,,0,,,
2470,a0RG000000PpEuFMAV,a0SG000000Gez69MAB,Air Condenser/Compressor,Electric,Carrier,,24ABB430A300,,2008,,,,,30000,14.00,,0,0,0,0,0,240,18.7,0,,,
2470,a0RG000000PpEuFMAV,a0SG000000Gez69MAB,Furnace/Air Handler,Gas,Carrier,,58STA070-13112,,2008,Attic,Horizontal,,"Input capacity 66000 BTUs, output 54000 BTUs. Air Handler CNPHP3017ATAABAA.",66000,,80.00,0,0,0,0,0,120,7.2,0,,,
2470,a0RG000000PpEuFMAV,,Clotheswasher,Electric,Samsung,,,WF220ANWXAA,2010,,,,,,,,0,0,0,0,0,120,10.0,,,,
2470,a0RG000000PpEuFMAV,,Dryer,Electric,Samsung,,,DV220AEWXAA,2010,,,,,,,,0,0,0,0,0,240,22.5,0,,,
2470,a0RG000000PpEuFMAV,,Dishwasher,Electric,Whirlpool,,DU810SWPU3,,2008,,,,,,,,0,0,0,0,0,120,9.0,0,,,
2470,a0RG000000PpEuFMAV,,Microwave,Electric,Whirlpool,,,WMH1162XVS-2,2009,,,,,,,,0,0,0,0,0,120,8.3,0,,,
2470,a0RG000000PpEuFMAV,,Range,Gas,Whirlpool,,,WFG114SVB0,2008,,,,,,,,0,0,0,0,0,120,10.0,0,,,
2470,a0RG000000PpEuFMAV,,Refrigerator,Electric,Maytag,,,MSD2542VES01,2008,,,,,,,,0,0,0,0,0,120,6.5,1,Side-by-Side,Underneath the Unit,
