,house_num_rooms,area,num_occupants
26,6.0,2047.0,4.0
59,11.0,3600.0,7.0
94,3.0,1713.0,2.0
101,5.0,1300.0,3.0
121,10.0,1900.0,3.0
135,2.0,816.0,4.0
222,4.0,2200.0,5.0
252,4.0,2700.0,4.0
364,10.0,2200.0,2.0
370,8.0,2682.0,2.0
410,8.0,1299.0,2.0
545,12.0,2445.0,2.0
624,7.0,2100.0,4.0
661,6.0,1664.0,2.0
871,8.0,1652.0,4.0
936,8.0,1400.0,4.0
946,9.0,2025.0,1.0
1035,11.0,1780.0,2.0
1042,5.0,2000.0,3.0
1114,5.0,2200.0,1.0
1169,6.0,1430.0,2.0
1283,10.0,2500.0,5.0
1310,2.0,752.0,1.0
1334,5.0,1100.0,2.0
1415,3.0,1720.0,3.0
1463,9.0,2100.0,1.0
1500,3.0,713.0,2.0
1556,6.0,1699.0,2.0
1600,8.0,1575.0,2.0
1642,11.0,1720.0,3.0
1697,8.0,2085.0,2.0
1700,15.0,3100.0,4.0
1790,5.0,3000.0,4.0
1796,5.0,850.0,4.0
1800,9.0,2075.0,1.0
1953,8.0,1600.0,2.0
2129,7.0,2042.0,2.0
2156,7.0,1780.0,2.0
2233,4.0,3300.0,4.0
2242,4.0,3500.0,2.0
2345,8.0,1700.0,2.0
2365,13.0,2500.0,4.0
2378,7.0,1600.0,2.0
2401,3.0,1079.0,1.0
2470,3.0,1550.0,1.0
2557,16.0,3300.0,2.0
2692,10.0,2200.0,2.0
2792,8.0,2500.0,2.0
2814,7.0,1860.0,2.0
2836,5.0,3400.0,2.0
2859,8.0,1200.0,2.0
2925,3.0,2330.0,4.0
2946,3.0,2150.0,2.0
2953,5.0,1500.0,2.0
2986,6.0,2310.0,2.0
3009,5.0,1200.0,2.0
3036,5.0,2300.0,3.0
3224,10.0,2000.0,2.0
3299,5.0,975.0,1.0
3301,11.0,2310.0,2.0
3367,4.0,2800.0,3.0
3443,4.0,650.0,1.0
3456,10.0,1720.0,2.0
3482,9.0,1840.0,1.0
3506,7.0,1931.0,2.0
3577,9.0,2100.0,1.0
3649,7.0,2450.0,5.0
3652,9.0,2700.0,4.0
3723,3.0,1551.0,2.0
3736,6.0,1800.0,2.0
3778,5.0,1262.0,3.0
3805,3.0,2000.0,3.0
3829,4.0,2300.0,2.0
3893,9.0,2700.0,2.0
3967,10.0,2500.0,2.0
4000,3.0,740.0,1.0
4031,10.0,2050.0,3.0
4213,3.0,1600.0,3.0
4228,7.0,1200.0,3.0
4297,8.0,1439.0,2.0
4298,6.0,953.0,2.0
4342,8.0,1316.0,3.0
4421,4.0,1100.0,2.0
4505,3.0,1580.0,2.0
4732,6.0,1500.0,2.0
4767,10.0,2500.0,2.0
4874,7.0,2100.0,2.0
4894,10.0,1980.0,3.0
4922,8.0,2200.0,2.0
4946,8.0,2400.0,4.0
4957,13.0,3300.0,5.0
4998,4.0,2600.0,2.0
5026,7.0,1480.0,2.0
5109,8.0,4000.0,3.0
5209,4.0,1670.0,3.0
5218,10.0,2050.0,1.0
5357,7.0,3200.0,5.0
5371,6.0,980.0,2.0
5439,8.0,1700.0,2.0
5673,6.0,1900.0,5.0
5677,6.0,997.0,1.0
5746,9.0,1768.0,3.0
5785,11.0,1900.0,2.0
5814,6.0,1060.0,2.0
5817,10.0,1908.0,4.0
5839,7.0,1700.0,3.0
6072,8.0,1700.0,2.0
6121,3.0,2200.0,4.0
6139,9.0,2800.0,5.0
6246,12.0,2200.0,3.0
6266,4.0,2300.0,1.0
6407,5.0,3300.0,4.0
6418,9.0,2300.0,2.0
6498,3.0,2600.0,2.0
6524,3.0,968.0,4.0
6636,7.0,2000.0,1.0
6685,4.0,1500.0,2.0
6692,8.0,2500.0,2.0
6787,5.0,1600.0,2.0
6830,3.0,2100.0,4.0
6836,5.0,1215.0,2.0
6910,12.0,2698.0,4.0
7016,10.0,2600.0,4.0
7024,2.0,1560.0,1.0
7057,7.0,1740.0,2.0
7077,11.0,3500.0,4.0
7113,9.0,2200.0,4.0
7319,9.0,2900.0,2.0
7390,3.0,2100.0,2.0
7429,9.0,2500.0,2.0
7510,10.0,3850.0,3.0
7597,3.0,1803.0,2.0
7641,7.0,2200.0,4.0
7731,8.0,2120.0,3.0
7741,12.0,1840.0,2.0
7769,6.0,960.0,2.0
7793,8.0,2687.0,3.0
7800,10.0,2000.0,2.0
7866,4.0,1100.0,3.0
7982,3.0,1720.0,2.0
8031,5.0,1058.0,3.0
8047,4.0,3250.0,5.0
8071,10.0,4200.0,2.0
8142,15.0,3300.0,2.0
8236,3.0,1950.0,4.0
8243,7.0,2214.0,2.0
8317,9.0,1576.0,2.0
8424,4.0,2500.0,2.0
8626,12.0,3500.0,2.0
9052,12.0,2400.0,4.0
9134,4.0,2200.0,3.0
9176,10.0,2681.0,3.0
9195,2.0,816.0,2.0
9215,7.0,2000.0,2.0
9233,2.0,935.0,3.0
9454,8.0,1000.0,1.0
9484,8.0,3150.0,2.0
9499,3.0,1100.0,2.0
9578,5.0,825.0,1.0
9609,5.0,1080.0,1.0
9639,6.0,2000.0,2.0
9647,12.0,3100.0,4.0
9699,5.0,1000.0,1.0
9729,11.0,2222.0,5.0
9773,4.0,2350.0,2.0
9912,2.0,0.713,1.0
9922,5.0,2300.0,2.0
9931,2.0,816.0,3.0
9932,8.0,2350.0,2.0
9933,8.0,1474.0,4.0
9934,8.0,2500.0,2.0
9971,4.0,3100.0,2.0
9982,4.0,1400.0,4.0
