dataid,primary_residence,number_floors,year_moved_into_house,month_moved_into_house,year_house_constructed,foundation_pier_beam,foundation_slab,house_num_rooms,house_square_feet,house_ceiling_height,spend_time_at_home_none,spend_time_at_home_monday,spend_time_at_home_tuesday,spend_time_at_home_wednesday,spend_time_at_home_thursday,spend_time_at_home_friday,ethnicity_asian_pacific_islander,ethnicity_black_african_american,ethnicity_caucasian_other_than_hispanic_or_latino,ethnicity_hispanic_or_latino,ethnicity_native_american_alaska_native,ethnicity_other,ethnicity_decline,sex_males,sex_females,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_older_65,education_level,total_annual_income,smartphone_own,smartphone_models,tablet_own,tablet_models,pv_system_own,pv_system_size,electricity_used_monthly,gas_used_monthly,retrofits,retrofits_detail,retrofits_reason,appliance_blender,appliance_toaster,appliance_hairdryer,appliance_iron,appliance_fan,appliance_vacuum,appliance_battery_charger,appliance_electric_lawn,appliance_electric_tools,appliance_pond_garden_pump,irrigation_system,cooking_weekdays_times,cooking_weekends_times,cooking_weekdays_morning,cooking_weekdays_midday,cooking_weekdays_evening,cooking_weekdays_none,cooking_weekends_morning,cooking_weekends_midday,cooking_weekends_evening,cooking_weekends_none,blinds_summer,blinds_winter,thermostat_settings,tv_hours,vehicles_count,ceiling_fans_count,care_energy_cost,reduce_energy_cost,reduce_energy_yes,modify_routines,hvac_central_air_gas_furnace,hvac_central_air_electric_furnace,hvac_twoway_heat_pump,hvac_geothermal_heat_pump,hvac_window_ac,hvac_ductless,hvac_no_ac,hvac_dont_know,compressors_count,compressor1_brand,compressor1_year,compressor1_model,compressor2_brand,compressor2_year,compressor2_model,compressor3_brand,compressor3_year,compressor3_model,air_handler1_brand,air_handler1_year,air_handler1_model,air_handler2_brand,air_handler2_year,air_handler2_model,heating_gas,heating_electric_resistance,heating_electric_heat_pump,heating_plugin_space_heater,heating_none,heating_dont_know,temp_summer_weekday_workday,temp_summer_weekday_morning,temp_summer_weekday_evening,temp_summer_sleeping_hours_hours,temp_summer_weekend_hours,temp_winter_weekday_workday,temp_winter_weekday_morning,temp_winter_weekday_evening,temp_winter_sleeping_hours_hours,temp_winter_weekend_hours,pets,thermostats_count,thermostats_brand,programmable_thermostat_currently_programmed,programmable_thermostat_difficultly,ac_comfortability,house_drafty,ac_cooling_evenly,ac_floor_different_temperatures,ac_cooling_equally_first_warmer,ac_cooling_equally_second_warmer,ac_cooling_equally_third_warmer,change_ac_filters,ac_service_package,ac_service_package_cost,ac_service_date,dishwasher_number,dishwasher_brand,refrigerator_number,refrigerator_brand,clotheswasher_number,clotheswasher_brand,electric_clothesdryer_number,electric_clothesdryer_brand,gas_clothesdryer_number,gas_clothesdryer_brand,electric_waterheater_number,electric_waterheater_brand,gas_waterheater_number,gas_waterheater_brand,electric_ovenrange_number,electric_ovenrange_brand,gas_ovenrange_number,gas_ovenrange_brand,microwaveoven_number,microwaveoven_brand,toasteroven_number,toasteroven_brand,television_number,television_brand,ceilingfan_number,ceilingfan_brand,large_powertools_number,large_powertools_brand,electricvehicle_number,electricvehicle_brand,sprinklersystem_number,sprinklersystem_brand,swimming_pool_pump_number,swimming_pool_pump_brand,water_heater_tankless,light_bulbs_incandescent,light_bulbs_cfl,light_bulbs_led,light_bulbs_halogen,light_bulbs_fluorescent,typical_bulb_lamps,typical_bulb_fans,recessed_lights_location,track_lights_location,electronic_devices_cable_box_number,electronic_devices_dvr_number,electronic_devices_wifi_number,electronic_devices_game_system_number,electronic_devices_on_other
43,Yes,One,1991,,1973,,Slab,8,1500,8,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,,2,,College graduate,$10-000 - $19-999,Yes,HTC Status- Setp. 2011,Yes,Dell Streak 7 7/2012- ACER A200 11/2012,Yes,6.7,650,0,Yes,LED lights- (2) 5-000 BTU window A/C- Induction cooktop- attic fan- water heater timer- 65-000 BTU fireplace insert- ,No,rarely,several times a week,daily basis,once or twice a month,daily basis,once or twice a month,daily basis,once or twice a month,once or twice a month,rarely,Yes,Less than 1 hour,Less than 1 hour,Morning,,Evening,,Morning,Mid-day,Evening,,Most days,Some days,Our preferences vary 1-2 degrees Fahrenheit,more than 10,2,6,Yes,Yes,100% till Im off the grid.,Yes,,Central air system with electric heating,,,Window unit,,,,1,RUDD,2006,Achiever 2.5 ton 13 SEER,,,,,,,RUDD,2006,uhla-hm3617ja,,,,,,,Plug-in space heaters,,,86,86,86,86,86,60,60,60,60,60,No,1,White Rogers,Yes,Easy,2,No,Both; the cooling and heating are both even,,,,,Every 2-3 months,No,,2-3 years ago,1,Frigidaire FDB710LCB0- 2003,1,Whirlpool FT1FHTXM003 2005,1,Whirlpool- ?- 1997,1,Whirlpool- ?- 1997,,,1,Sutherlands- CL81V52D,,,1,"Maytag Oven CWE4200ACB 2002 Frigidaire Stove 30""- 220V- 4 element- 2003",,,1,General Electric- JES1139-B103,1,Black & Decker- TR0620- 1200 watts,3,"Westinghouse LCD 40"" 2013 Insignia- LCD 23.5""- 2012 Auria- LCD- 23.5""- 2011",6,Various installed before 1990,11,Electric Chain Saws- Circular Saw- Hand Drills- Air Compressor- Shop Fans- Band Saw- Shop Vac,0,,1,Rain Bird- Model ISA 408 (Inactive),0,,No,Incandescent,CFL,LED,,,LED,CFL,,,2,,1,,2 wireless security cameras 2 UPS units for VOIP phone system- Cable modem- Wireless Router- Enphase Solar Data Gateway
1629,Yes,One,1993,,1992,,Slab,10,2335,10,none,,,,,,,,,Hispanic,,,,1,3,,,1,1,,2,,,Postgraduate degree,$100-000 - $149-999,Yes,iphone5 (Dec2012)- iphone4s(2012),Yes,Kindle (Jan2011),Yes,6.3,579 Oct,9-Oct,No,,N/A,N/A,once or twice a week,daily basis,once or twice a week,daily basis,once or twice a month,daily basis,once or twice a month,rarely,N/A,No,Less than 1 hour,Less than 1 hour,,,Evening,,,Mid-day,,,Most days,Some days,We are generally in agreement,more than 10,4,5,Yes,Yes,doing already 39% plus,Yes,Split system with gas furnace,,,,,,,,1,Trane,see e-mail,,,,,,,,Trane,see e-mail,,,,,Gas heat (gas furnace),,,,,,79,79,79,79,79,65,65,68,71,65,No,1,Trane,Yes,Easy,5,No,,,Individual rooms on the first floor are warmer than others,,,Every 2-3 months,No,,1-2 years ago,Bosch,she55m15uc/64. 2013,Samsung,rf263teaebc- 2013,Maytag Bravos,mvwx600xw0- 2011,Maytag Bravos,medx600xwo- 2011,n/a,,n/a,,Rinnai tankless water heater,2010,n/a,,GE Adora,jgbp87mel3bs- 2003,GE,wes1130dm2bb- 2009,n/a,,"Phillips 26""- LG 42""- and Sylvania 27"" CRT",2010- 2010- old,4,?,n/a,,Chevy,Volt 2011,n/a,,n/a,,Yes,,CFL,,,,CFL,CFL,kitchen,n/a,2,1,1,None,refrigerator- the DVR and cable boxes used to be turned off but got newer versions that use little to nothing- turn off all stereo- DVD- chargers- etc with outlet strips. The 240V car charger is installed w/green light on. Stove clock- microwave- and cordless phones and clocks are always plugged in.
2053,Yes,One,2005,,1930 or earlier,Pier and beam,,5,1050,11 ft.,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,None,1,,,,,,,,1,Postgraduate degree,$20-000 - $34-999,No,,No,,No,,450,NONE,No,,N/A,rarely,N/A,daily basis,once or twice a week,daily basis,once or twice a month,several times a week,rarely,rarely,N/A,No,Less than 1 hour,Less than 1 hour,Morning,,Evening,,Morning,,Evening,,Most days,Most days,,10,1,6,Yes,No,,Yes,,,,,Window unit,,,,,,,,,,,,,,,,,,,,,,,Plug-in space heaters,,,,,,,,,,,,,No,N/A,,,,5,No,Both; the cooling and heating are both even,,,,,,No,,,,,1,Kenmore- 1994,1,Kenmore- 1991,1,Kenmore- 1971,,,1,2004,,,1,Magic Chef- 2004,,,1,Toshiba- 1979,,,1,42 in   Toshiba  2005,6,Hampton Bay- 2004,,,,,,,,,No,Incandescent,,,,,Incandescent,Incandescent,,,1,None,None,None,
4517,Yes,One,1983,,1975,,Slab,8,1600,8,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,None,0,0,0,0,0,0,1,0,College graduate,$20-000 - $34-999,Yes,iPhone 5,Yes,iPad,No,,16 to 40 depending on time of year,,No,,N/A,N/A,N/A,N/A,N/A,daily basis,once or twice a month,daily basis,N/A,N/A,N/A,No,None,None,,,,I/we do not usually cook at home,,,,I/we do not usually cook at home,Most days,Rarely or never,We are generally in agreement,more than 10,1,4,Yes,Yes,15%,Yes,,Central air system with electric heating,,,,,,,1,,,,,,,,,,,,,,,,,Electric heat (electric resistance heated furnace),,,,,78,78,78,78,78,63,64,64,64,,Yes,1,,No,Easy,3,No,,,Individual rooms on the first floor are warmer than others,,,Every year or greater,No,,3-5 years ago,1,Kenmore,1,Kenmore,1,Kenmore,1,Kenmore,na,,1,kenmore,na,,1,ge,na,,1,,,,3,Panasonic- Sony- Sony,4,,0,,0,,0,,0,,No,Incandescent,CFL,,,Fluorescent,CFL,Incandescent,,,2,2,2,1,
1600,Yes,One,2010,,1939,Pier and beam,,8,1575,8.5,none,,,,,,,,,,,,Decline to Respond,1,1,0,0,0,0,1,1,0,0,Postgraduate degree,$100-000 - $149-999,No,,No,,No,,,,Yes,Remodeled our duplex into a single home--replaced the 1939 original electrical wiring and plumbing; and got new washer- dryer (gas)- hot water heater (gas)- dishwasher- and range (gas).  Also added 16 LED recessed ceiling lights.,No,once or twice a month,several times a week,once or twice a month,N/A,daily basis,once or twice a month,daily basis,rarely,N/A,N/A,No,Less than 1 hour,An hour or more,,,Evening,,Morning,,Evening,,Most days,Most days,Our preferences vary 1-2 degrees Fahrenheit,9,1,4,Yes,Yes,10%,Yes,Split system with gas furnace,,Heat Pump,,,,,,1,,2013,,,,,,,,,2013,,,,,Gas heat (gas furnace),,,,,,83,77,79,77,79,61,68,69,68,71,Yes,1,generic,Yes,Easy,5,Somewhat,,,Individual rooms on the first floor are warmer than others,,,Every 2-3 months,No,,Less than a year ago,1,Kitchenaid- 2012,1,GE- Whirlpool- estimate 2008 (previous owner),1,Kenmore- model #41272- 2012,0,n/a,1,Kenmore- model #91272- 2012,0,n/a,1,Rheem- 2013,0,n/a,1,Kenmore- unknown model- 2013,1,GE- unknown model- 2001,1,GE- unknown model- 2006,0,n/a,4,Hampton Bay- unknown model- 2013,0,n/a,0,n/a,0,n/a,0,n/a,No,Incandescent,CFL,LED,,,CFL,CFL,dining room- living rooms- kitchen- laundry- bathroom,n/a,None,None,1,None,laptop computer always plugged-in sleeping
2836,Yes,Two,1999,,1999,,Slab,5,3400,9,none,,,,,,,,Caucasian,,,,,1,1,,,,,,,2,,College graduate,$150-000 - $299-000,Yes,iPhone 5,Yes,Mini iPad - 12/12- ipad3 whenever it first came out,No,,,,Yes,Water heater- ac units- heater- disposal- master bath water fixtures- new light fixtures downstairs,No,rarely,once or twice a week,daily basis,once or twice a week,daily basis,once or twice a month,daily basis,N/A,once or twice a month,N/A,Yes,Less than 1 hour,Less than 1 hour,,,Evening,,Morning,,Evening,,Most days,Most days,Our preferences vary 3-5 degrees Fahrenheit,more than 10,2,6,Yes,Yes,,Yes,,Central air system with electric heating,,,,,,,2,,2013,,,2013,,,,,,,,,,,,Electric heat (electric resistance heated furnace),,,,,81,76,75,76,77,68,68,72,69,72,No,2,Nest,Yes,Easy,4,Somewhat,Both; the cooling and heating are both even,,,,,Every 2-3 months,Yes,Fox $200?,Less than a year ago,1,,1,,1,,1,,0,,1,,0,,1,,0,,1,,0,,3,,6,,0,,0,,1,,0,,No,,,LED,Halogen,,LED,LED,no,no,3,3,1,1,
2242,Yes,Two,1999,,1999,,Slab,4,3500,10,,,Tuesday,Wednesday,,,,,Caucasian,,,,,1,1,,,,,,,2,,Postgraduate degree,,Yes,2 - Apple iPhone 4s - December 2011,Yes,2 - Apple iPad Mini - December 2012,No,,,,No,,N/A,once or twice a month,once or twice a month,daily basis,several times a week,several times a week,once or twice a week,daily basis,N/A,once or twice a month,daily basis,Yes,Less than 1 hour,An hour or more,,,Evening,,Morning,,Evening,,Most days,Some days,We are generally in agreement,8,2,6,Yes,Yes,20%,Yes,Split system with gas furnace,,,,,,,,2,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,76,73,73,73,73,64,69,69,69,69,No,2,Nest (Pecan Street),Yes,Easy,3,Somewhat,Both; the cooling and heating are both even,,,,,Every 4-6 months,No,,1-2 years ago,1,,2,,1,,1,,0,,0,,2,,2,,1,,1,,0,,2,,6,,0,,0,,1,,0,,No,Incandescent,,,,,Incandescent,Incandescent,Living Room,n/a,1,1,1,None,
3394,Yes,One,2005,,1978,,Slab,8,2800,9,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,,2,,Some college/trade/vocational school,$150-000 - $299-000,Yes,iPhone 4s October 2011- iPhone 5 February 2013,Yes,iPad 3 Apr 2012,No,,3500,12CCF,No,,No,rarely,rarely,once or twice a week,once or twice a month,once or twice a week,once or twice a week,daily basis,N/A,N/A,N/A,Yes,Less than 1 hour,An hour or more,,,Evening,,,,Evening,,Rarely or never,Rarely or never,Our preferences vary 1-2 degrees Fahrenheit,more than 10,3,6,Yes,Yes,1000kwh,Yes,Split system with gas furnace,,,,,,,,2,Amrican Standard,2007,2A7A3048A1000AA   7183T224F,Aire-Flo,2004,AFAIR10B36-B   4605H13631,,,,Goodman/Amana,2009,Distinctions,Goodman/Amana,2009,Unknown,Gas heat (gas furnace),,,,,,75,74,75,74,75,70,70,70,64,70,Yes,2,Honeywell,Yes,Easy,4,No,,,Individual rooms on the first floor are warmer than others,,,Every 2-3 months,Yes,250,Less than a year ago,1,Miele- Diamante Plus- 2006,3,Maytag MFD2561HES 2005- Kenmore- Gladiator GAFZ21XXRK02 2010,1,LG WM3001HPA 2005,1,LG DLEX3001P 2005,,,,,2,Hotpoint HG40T01AVG02 2007,1,Maytag JJW9627DDS 2005,,,1,GE 900W 2009,,,4,"Sony Bravia 50"" 2009- Magnavox 37"" 2009- Insignia 40"" 2012- Samsung 37"" 2009 ",6,Unknown,,,,,1,4 zones,1,AO Smith B2983,No,Incandescent,CFL,LED,Halogen,Fluorescent,LED,LED,Bedrooms- common areas,Living Room,4,1,1,1,Home Server- Network Attached Storage- Wi-Fi Access points- Apple TV- Laptop- Network Switches- Laser Printers all switched on 100% of the time.
5371,Yes,One,2009,,1941,Pier and beam,,6,980,9,none,,,,,,,,Caucasian,,,,,1,1,,,,,,2,,,Postgraduate degree,$100-000 - $149-999,Yes,iphone4- 2011; iphone5- 2013,Yes,Acer- 2011;  ipad- 2010; kindle fire- 2012,No,,,,No,,N/A,rarely,rarely,N/A,rarely,daily basis,several times a week,several times a week,N/A,N/A,once or twice a week,No,Less than 1 hour,An hour or more,,,Evening,,,Mid-day,,,Most days,Most days,Our preferences vary 1-2 degrees Fahrenheit,more than 10,2,4,Yes,Yes,I dont know,Yes,Split system with gas furnace,,,,,,,,1,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,80,78,78,78,78,65,68,68,68,70,No,1,Nest- thanks!,Yes,Easy,5,No,Both; the cooling and heating are both even,,,,,Every 2-3 months,Yes,Strand- $130 (sometimes I do annual- sometimes just in the summer),Less than a year ago,1,none of this information has changed since my initial energy audit,1,,1,,1,,,,,,1,,,,1,,1,,1,,2,,4,,,,,,,,,,No,Incandescent,CFL,,,,CFL,CFL,n/a,n/a,None,None,1,1,desktop computer is on all the time
2557,Yes,Two,1988,,1965,,Slab,16,3300,8 ft,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,,1,1,Postgraduate degree,$100-000 - $149-999,Yes,3GS and 4G- 2012,Yes,Jan-13,Yes,5.17,817 Sept- 2013,10 CCF,Yes,Refrigerator,No,rarely,N/A,several times a week,once or twice a month,daily basis,once or twice a week,several times a week,rarely,rarely,daily basis,Yes,Less than 1 hour,Less than 1 hour,,,Evening,,,,Evening,,Some days,Rarely or never,We are generally in agreement,2,3,6,Yes,No,,Yes,Split system with gas furnace,,Heat Pump,,,,,,2,Am. Std.,2009,4A7A3048A1000A,Am. Std.,2011,4A6B4018E1000A,,,,Am. Std.,2009,4TXCC060BC3HCA,Am. Std.,2011,4TEE3F37B1000A,Gas heat (gas furnace),,Electric heat pump,,,,78,78,78,78,78,68,68,68,68,68,No,2,Nest (downstairs); Am. Std. (upstairs),Yes,Easy,5,No,Both; the cooling and heating are both even,,,,,Every 4-6 months,No,,Less than a year ago,1,Kenmore- 2007- 665.13734K600,2,Ref. Kenmore- 2013- 795.73032.112; Freezer- Kenmore- 1978- 28203,1,Kenmore- 1999- 110.29882890,0,,1,Kenmore- 2000- 110.70912990,0,,1,Bradford- 2010- M15036FBN,1,General Electric- 2004- JBP82CH2CC,0,,1,Maytag- 2005- MMV5165AA,0,,3,"Dynex- 19""- 2009- DX-LCD19-09; Toshiba- 46""- 2007- 46RF350U; Toshiba- 32""- 2007- 32LV67U",7,Mostly approx 1988- various models; Hampton Bay- 1999- 409-952,1,Sears Craftsman- 10-in. Radial Saw; 1982- 113.199250,0,,1,Rainbird- 1990 and later,0,,No,Incandescent,CFL,,,Fluorescent,CFL,Incandescent,Kithchen,NA,1,1,1,None,Not that I can think of
