,aggregate_1,aggregate_2,aggregate_3,aggregate_4,aggregate_5,aggregate_6,aggregate_7,aggregate_8,aggregate_9,aggregate_10,aggregate_11,aggregate_12,hvac_1,hvac_2,hvac_3,hvac_4,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,hvac_10,hvac_11,hvac_12,fridge_1,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,fridge_10,fridge_11,fridge_12,dw_1,dw_2,dw_3,dw_4,dw_5,dw_6,dw_7,dw_8,dw_9,dw_10,dw_11,dw_12,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_8,dr_9,dr_10,dr_11,dr_12,wm_1,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9,wm_10,wm_11,wm_12,area,num_rooms,num_occupants
26,765.002807617,663.851074219,769.035827637,698.147338867,995.478820801,1299.50183105,1035.32409668,1708.11486816,1231.77404785,1073.36669922,667.831176758,800.943237305,7.63571691513,2.04465007782,49.3615493774,81.4172668457,236.560089111,493.189483643,387.065551758,841.948120117,504.574371338,335.706542969,21.5781326294,1.64438331127,39.7657661438,37.6506004333,45.8785667419,48.560382843,56.5810012817,54.3622131348,54.59141922,57.8263320923,52.1659164429,52.564666748,50.3873977661,55.7192153931,20.4320831299,11.4606170654,13.1803331375,7.81420040131,11.7582330704,9.6548833847,8.0232667923,12.403550148,13.9509506226,16.9743499756,13.9964332581,16.5314006805,,,,,,,,,,,,,,,,,,,,,,,,,2047.0,6.0,4.0
59,2042.32592773,1478.16027832,1104.90759277,960.725891113,924.203918457,1117.20410156,1098.26525879,1514.58276367,1085.48864746,968.533325195,1364.93066406,1792.10144043,724.85357666,508.429138184,236.376205444,44.6451797485,31.4798164368,262.018737793,298.577331543,540.57598877,275.283660889,84.8558502197,343.020751953,380.281829834,6.02659988403,5.32683372498,5.88878297806,5.78509998322,6.02291631699,5.8110833168,6.06766653061,6.03801679611,6.06856679916,6.17689990997,5.90963315964,6.28488349915,,,,,,,,,,,,,87.5045166016,67.0237197876,98.5241317749,85.1279144287,70.5454406738,69.0447845459,52.0664634705,71.8860321045,64.4573669434,65.2520370483,85.4967041016,72.5005874634,,,,,,,,,,,,,3600.0,11.0,7.0
94,300.870544434,224.886703491,271.707794189,265.148803711,321.293792725,433.325042725,527.284606934,582.39239502,439.982116699,329.764099121,254.436035156,199.20451355,0.000300000014249,0.000166666664882,0.000699999975041,5.31806707382,22.3955173492,85.9101638794,125.332267761,149.583297729,80.6524276733,36.4694480896,5.00000023749e-05,5.00000023749e-05,45.9962348938,40.833316803,46.444896698,49.4179344177,57.8625526428,59.9305496216,60.2027664185,62.9261322021,58.3775367737,58.1227989197,46.7660675049,47.3106155396,4.9736828804,2.45671677589,3.61756658554,1.76671671867,3.58976650238,2.65888333321,1.51121664047,1.41918337345,1.51321673393,0.000466666679131,2.46038341522,1.68026661873,11.5652170181,11.3038330078,14.6236333847,7.85226678848,12.5498495102,7.90924978256,7.25491666794,7.3532834053,8.05493354797,8.73301696777,6.91466665268,5.46474981308,3.16906666756,1.97183334827,2.32933330536,1.46428334713,4.65679979324,1.78761672974,2.72115015984,4.27043294907,2.51018333435,2.56261658669,4.19089984894,2.56566667557,1713.0,3.0,2.0
135,295.499725342,284.742248535,241.11668396,279.938079834,341.938537598,438.378875732,480.428466797,523.128234863,379.79296875,327.426177979,264.998809814,276.764953613,106.709381104,104.319885254,48.8346977234,73.1627349854,120.457145691,216.323760986,249.42868042,279.063812256,161.274734497,108.939483643,58.9206161499,58.0680809021,0.686466693878,0.0916333422065,1.03285002708,0.415133327246,0.2065166682,1.71546661854,3.01596665382,0.891383290291,0.804416716099,1.47878336906,3.22480010986,2.67818331718,0.508116662502,1.25489997864,0.760933339596,0.0483499988914,0.774200022221,0.0382666662335,3.1642665863,2.90998339653,1.48706662655,6.26916646957,6.58628320694,6.77991628647,,,,,,,,,,,,,,,,,,,,,,,,,816.0,2.0,4.0
222,1694.98400879,1062.86279297,1429.8885498,1420.63464355,1878.21289062,2411.44189453,2341.00219727,2345.4753418,1995.26745605,1433.64404297,1347.4029541,1398.31237793,8.82320022583,13.2243499756,40.6881980896,235.634536743,383.553619385,793.142700195,882.801086426,879.411743164,690.71661377,419.070770264,39.1342353821,26.9546833038,91.2850341797,75.320930481,84.591506958,89.4788970947,96.4035873413,108.095832825,97.3280715942,106.687332153,103.179679871,119.878501892,117.282798767,188.072616577,26.0905513763,14.2941999435,10.7215328217,15.3334331512,17.5912647247,16.4334163666,7.6810836792,11.1012334824,11.5955991745,13.6760663986,18.0284671783,3.64191675186,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,4.0,5.0
252,1165.71569824,944.003723145,909.876831055,1856.47229004,2668.50537109,1725.70703125,2354.9675293,2366.44433594,1807.41894531,1562.41015625,1121.96008301,1260.71154785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,4.0,4.0
370,770.034851074,743.031921387,820.186706543,993.123840332,1661.23059082,1825.25158691,1292.56079102,1487.45361328,1286.0880127,1117.3293457,802.47442627,875.410095215,1.78894996643,1.76366662979,1.48265004158,164.160461426,535.913146973,820.103088379,500.879730225,600.596069336,370.273040771,227.686843872,25.497133255,27.6499996185,0.169750005007,,,30.4350662231,36.3388671875,36.1270675659,36.7119636536,37.2131309509,36.2112159729,37.3685493469,34.4276847839,34.4593658447,0.051249999553,,,14.6317501068,21.8874340057,18.1897315979,14.3127164841,16.4374008179,14.7872333527,22.7500667572,21.7678165436,24.6075668335,,,0.0188500005752,0.950683355331,1.63956665993,1.51665008068,0.797666668892,0.954366624355,0.778416693211,0.661733329296,0.416933327913,0.450383335352,0.0219999998808,,,2.24768328667,2.59526658058,2.21276664734,3.09330010414,2.22541666031,2.22728347778,2.47318339348,2.71580004692,2.58764982224,2682.0,8.0,2.0
410,582.307128906,445.19631958,371.562286377,275.75970459,385.360046387,705.071899414,808.172729492,923.742370605,644.33013916,415.878875732,501.275817871,716.844299316,0.167966678739,0.135899990797,0.199249997735,33.2948303223,82.5443191528,329.409179688,407.828552246,501.222137451,259.169403076,74.5794677734,0.249899998307,0.275083333254,33.9458503723,32.3627166748,43.0206184387,50.837146759,52.0676345825,63.0543823242,59.7934646606,57.3439331055,56.8436317444,56.8062667847,42.5641326904,44.7664642334,,,,,,,,,,,,,,9.5172662735,77.7289123535,34.2586174011,44.9975357056,48.7745666504,47.5062332153,46.6242485046,51.2797164917,45.0405311584,50.6406021118,84.8352203369,,,,,,,,,,,,,1299.0,8.0,2.0
545,768.774414062,664.549926758,658.725646973,851.752868652,1098.59777832,1590.99987793,1855.38110352,1803.17736816,1509.703125,1157.30810547,621.796325684,780.262023926,1.73016667366,1.59014999866,18.3882827759,201.144714355,321.856445312,744.417724609,931.290283203,969.821899414,660.279724121,376.79888916,5.64295005798,1.52283334732,26.3099498749,23.8124008179,29.9693832397,35.9083328247,37.9403152466,38.7238998413,53.5060997009,54.1918678284,49.6356010437,52.9650001526,43.7760009766,40.7274169922,16.0432338715,13.5869998932,15.2824335098,18.9725170135,19.6103172302,14.6475334167,17.0616168976,12.532500267,14.038766861,16.8019332886,15.8282661438,17.2357158661,,,,,,,,,,,,,12.7774333954,10.553650856,8.83645057678,8.32653331757,11.9344835281,9.38675022125,9.29291725159,8.07019996643,10.2200498581,11.0034666061,8.43228340149,9.49069976807,2445.0,12.0,2.0
624,627.145935059,458.054412842,381.709686279,299.395294189,399.541503906,618.468994141,792.307983398,839.068481445,533.940917969,466.244934082,460.937835693,566.695617676,161.482589722,126.073532104,43.0482826233,0.291216641665,8.49828338623,207.399429321,405.113006592,357.131164551,185.915588379,55.2507362366,48.1359329224,44.9599494934,23.7562179565,25.9750995636,30.2339496613,34.346534729,37.7823181152,42.0330352783,40.3486328125,47.7109642029,44.2156982422,40.6263656616,31.6122837067,34.8048324585,10.3898038864,12.0868663788,12.5802001953,8.85840034485,11.6055335999,8.14461708069,6.00429964066,9.53645038605,9.92240047455,9.89113426208,14.3184337616,16.7291507721,1.87170028687,0.885699987411,1.67558336258,0.0340999998152,0.0348333306611,0.53001666069,12.1335334778,0.408083349466,0.0165333319455,1.22360002995,7.63245010376,13.6520843506,2.07582688332,1.72606670856,2.3913166523,1.74125003815,2.13100004196,1.87390005589,1.43436670303,2.13601660728,1.98360002041,2.41983318329,1.99844992161,2.03285002708,2100.0,7.0,4.0
