,1,2,3,4,5,6,7,8,9,10,11,12
94,94.422165,35.842222,57.716275,47.684439,64.193785,127.009023,144.182729,79.025622,134.69899,58.048455,50.757104,31.307965
370,157.373573,141.803205,110.43931,114.809177,297.569989,535.838946,562.921238,765.908616,565.130711,350.078909,185.310676,120.283823
545,114.590387,122.335349,156.491749,157.485467,358.63115,559.481271,523.287455,588.706838,456.047423,330.827905,81.234738,154.338733
624,166.623069,37.311124,25.857765,29.551695,93.884812,257.482068,319.04257,316.459726,243.157868,93.060244,96.568449,239.380383
871,73.073004,64.974595,74.638228,72.740756,95.970865,228.066492,213.812655,267.960052,214.223443,83.842793,88.571394,107.545672
1642,377.253664,394.487907,644.928524,613.540795,850.113543,1008.160928,1012.529248,1133.742512,942.00604,571.731743,438.802912,330.302588
2156,159.379794,119.76177,184.173138,129.730638,227.713062,351.14979,311.822874,365.573967,280.597002,140.604042,150.286545,175.876917
2242,316.73822,194.76033,244.129418,252.73441,367.080898,592.557542,586.130624,613.539418,472.847214,262.93764,257.59624,357.001938
2470,36.437987,26.84691,23.788151,17.012002,63.286631,238.475286,229.557018,298.694386,183.38257,93.517442,46.91337,32.868361
2814,139.819781,137.983016,219.334918,177.868484,297.899857,626.348663,620.385777,792.498452,573.340181,229.617521,127.043686,157.569787
3367,173.783809,160.156303,194.73619,180.725198,374.827747,699.533884,709.276941,792.190803,679.980875,381.309439,222.830492,286.361328
3967,143.890652,124.776294,168.132584,129.44701,237.346078,810.757625,558.387083,549.131399,495.017951,137.224119,139.16914,188.767099
5357,786.26411,636.096548,646.267716,633.768398,723.312753,933.401745,962.089704,1000.893088,865.199938,665.961162,627.56112,857.068634
6836,124.723271,116.574576,96.789738,40.713215,109.820442,289.135881,296.288716,365.665138,272.010693,151.74914,99.014188,129.773002
7769,51.706197,31.656618,36.389639,34.961622,96.961523,254.173477,237.919675,283.644847,201.287514,65.291407,33.1772,42.808686
7866,27.651282,24.136702,14.453179,44.738713,164.732244,592.553054,487.633117,693.29485,511.282735,125.853329,16.60883,12.480669
