,1,2,3,4,5,6,7,8,9,10,11,12
94,97.381134,33.734732,31.081321,31.044686,40.068014,55.573561,63.47613,36.880395,57.389858,31.93144,36.151333,35.866481
370,273.949798,209.70197,195.245816,229.351692,288.55239,258.018894,199.381338,266.330908,258.719498,227.027758,249.113274,198.848082
624,43.286046,11.703361,11.332506,11.958123,20.069231,54.184984,82.965066,74.823528,51.752437,25.461512,34.333999,85.830569
2156,115.725868,104.527169,117.949077,118.723648,121.387463,112.013952,116.799061,116.102945,119.261681,122.057637,114.051045,107.154145
2242,265.915564,163.513582,198.229928,201.909918,265.775688,467.641678,419.480202,452.413622,333.016876,182.467358,201.779698,270.367932
2470,9.606683,8.417788,8.781996,8.74531,9.268349,8.978601,9.09177,8.834662,8.232573,8.937325,8.633824,9.957733
2814,148.267353,129.695533,171.381777,183.457778,208.98525,266.176837,278.73642,275.527585,226.909999,193.807157,173.414433,209.218796
3367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3723,45.5328,40.97952,45.468506,44.01504,45.5328,44.01504,45.5328,45.5328,44.01504,45.5328,43.950746,45.5328
3967,18.126488,16.528352,16.36233,16.455949,15.529143,15.443123,15.291551,16.897473,15.364923,15.019143,13.427144,16.648355
4767,0.0,0.0,0.0,81.035923,126.027834,155.484873,179.683506,197.307644,159.578507,216.334435,143.586097,185.213385
5357,326.255296,268.816172,287.915468,310.472428,254.8878,274.069988,308.246448,304.339168,307.487228,292.033208,288.176588,312.790412
7769,52.863421,37.522774,39.815785,44.012949,86.296658,131.24357,125.19973,134.33094,125.229769,59.724247,37.467626,51.127143
