,1,2,3,4,5,6,7,8,9,10,11,12
94,228.843222,127.48725,164.397582,121.647206,113.879039,182.155289,201.551677,115.104773,192.586285,107.783893,93.513294,81.390033
370,210.387852,170.993072,143.995066,165.181741,313.001671,481.417186,477.682626,701.049842,514.693326,341.063401,223.04782,162.574383
545,137.283823,117.92186,152.95852,144.673247,330.009661,484.554111,445.01427,542.304386,393.073932,331.852716,105.847967,201.116868
624,201.495934,47.348298,33.837157,37.205401,108.298381,309.410897,420.820193,396.916034,294.601568,112.018508,125.110803,307.201968
871,169.944512,146.247209,165.276499,161.880392,188.198772,394.451527,375.736295,466.903164,342.185792,148.757038,179.60976,220.185564
1642,377.253664,394.487907,644.928524,613.540795,850.113543,1008.160928,1012.529248,1133.742512,942.00604,571.731743,438.802912,330.302588
2156,216.901164,159.179466,231.295914,134.650251,222.161865,249.852366,217.587216,263.150412,204.657237,137.894667,166.003113,176.64564
2242,401.461596,274.121362,354.22985,371.297306,530.910306,820.071364,865.86236,906.595176,695.43498,397.752468,344.291276,475.536376
2470,72.343126,57.000031,42.123178,20.010343,76.068591,247.208526,236.591006,302.108462,183.721159,101.091894,71.940379,88.641655
2814,159.036921,149.159275,269.259736,275.61046,438.287965,847.222914,861.442292,998.171235,745.48264,325.781183,201.245609,260.796881
3367,258.045754,239.954643,268.023156,255.025415,488.823916,983.638751,1036.352912,1205.725238,977.10475,525.896921,320.663333,422.401346
3967,144.77268,112.79976,124.514528,111.678304,211.890584,723.035976,543.460488,524.178408,430.709688,112.349464,138.31268,248.327976
4767,0.7344,0.66096,0.733363,137.380417,271.270275,362.999861,468.298456,507.567623,421.672335,482.365225,316.264583,430.932167
5357,890.819329,755.856686,804.982334,747.946722,754.784598,789.869521,843.601132,726.015583,737.200342,674.825744,641.484018,1000.173121
5371,117.364022,56.494349,106.350334,228.040397,391.508249,696.935298,609.876717,814.438771,579.908505,171.535797,72.053905,191.954582
6836,124.723271,116.574576,96.789738,40.713215,109.820442,289.135881,296.288716,365.665138,272.010693,151.74914,99.014188,129.773002
7769,60.181445,37.959538,42.644857,41.462745,117.606,277.927322,260.7868,307.333735,224.765058,73.226786,39.917343,53.388075
7866,67.048459,49.931601,47.634833,70.88201,184.012318,611.101346,504.479335,705.933687,519.028989,146.238522,46.498808,43.301006
