,1,2,3,4,5,6,7,8,9,10,11,12
94,104.12194,79.431174,98.232817,86.342966,87.876876,104.38136,112.225024,91.56115,106.20461,89.688158,64.844205,66.369258
370,52.5334,48.363283,52.77548,52.419007,56.959571,56.812776,57.741333,59.306336,55.14987,56.650341,52.361411,44.625799
545,65.237585,56.881167,60.357038,55.080459,59.950653,59.953815,61.192486,61.515282,58.600615,62.275556,61.586376,61.965901
624,107.179458,76.36757,73.579604,84.456748,92.45943,105.731347,147.479522,134.873223,122.276614,108.275805,100.05588,129.410579
871,22.301314,20.743247,22.611564,20.552762,20.538312,20.440307,22.515429,20.467405,19.215321,22.219748,18.641877,18.971337
2156,120.912738,106.218108,133.183168,120.346961,131.740616,135.818712,135.214685,130.447103,121.594795,99.990668,107.171009,112.137202
2242,70.972416,64.30692,65.332156,64.085019,71.529081,77.906223,79.969326,80.449236,70.316403,65.459724,64.766515,71.709672
2470,48.35684,43.700438,49.779672,46.926358,49.27756,51.838304,53.48931,52.77259,50.29943,53.70283,52.02578,55.692204
2814,42.82776,41.31969,44.465404,42.384366,45.33696,44.767698,45.802284,43.935378,43.265544,44.246682,43.840246,46.29678
3367,62.124579,56.249838,62.244599,59.926581,62.814609,69.169311,71.851401,67.804245,68.047056,66.956472,60.707102,66.943926
3967,42.098103,37.952211,40.579629,40.286022,48.601164,43.590414,43.989438,43.094082,38.805492,43.244991,39.365676,39.577479
4767,47.736068,42.962468,47.668663,107.197376,145.654436,182.42462,197.511338,196.782344,181.494448,155.329816,138.091187,157.430438
5357,76.497705,69.902198,80.106091,75.987093,79.926367,75.036351,76.410291,74.584287,72.932261,77.738943,74.720576,76.940708
5371,185.667013,163.524003,182.174176,182.827197,194.715756,191.386459,190.299241,200.352395,186.742008,184.770518,174.274582,179.418306
7769,59.957436,47.414734,48.351536,54.421471,64.623205,65.323673,68.02703,66.886704,65.57478,62.15013,46.975607,58.585672
7866,73.752698,65.599838,76.253381,71.00084,82.286188,88.064437,84.009818,80.969674,72.825909,70.83713,65.272469,72.670359
