,7,12,17,22,27
0,64.5560977456,55.7761276969,54.5150722058,55.087274269,54.8273397223
1,62.3403021509,62.2641384291,56.7252098404,49.9112003771,60.2304825624
2,66.9604495863,80.2280905296,82.7946949339,84.7791562641,79.5406233403
3,53.6889660447,56.1345286495,53.1879022698,52.0498685213,51.3007807368
4,35.8412407872,83.6629912989,76.4432876813,82.2916308319,78.6529415663
5,57.572370285,59.7849880845,71.8985231031,70.1725532171,70.8188728416
6,66.8062217752,64.3792921916,64.0724512392,63.1356416412,63.6925755874
7,83.4710793124,81.8244660973,84.3549194791,83.386167238,84.8368539735
8,66.2294739394,60.3725601769,69.0476489149,65.4393366086,69.4152144109
9,42.1340764529,56.7656740582,55.8278019007,55.2112387219,58.5839070143
10,58.7616670747,72.0673059196,76.7329356255,71.4263401513,71.4263401513
11,81.2017758655,77.4905681017,78.1716198398,72.5843723311,73.5927741204
12,56.5187965165,53.56848377,53.9773964159,53.7326158625,58.2969479211
13,41.534840521,47.5016608507,45.9365012251,47.7213003479,51.1728407644
14,80.692702847,78.1614129533,80.8838126178,78.3143516313,79.6681058488
15,77.1505732494,76.7591451546,75.0481349322,73.9011594411,69.8890040844
16,60.7675700005,60.7675700005,55.1655868597,65.0428997755,62.7028476906
17,76.2467434455,77.3620637417,76.324537938,79.9666448274,76.2091291973
18,72.8069181679,74.240901876,79.4163494666,76.2217031809,76.1381151957
19,70.7708603625,62.2227772183,71.0734781638,75.7159456107,76.6089990014
20,60.5792783958,56.6502225969,55.8297178082,58.6772493111,56.4850538164
21,77.0059968113,79.6808298244,78.2400910298,81.2830983172,82.3600157854
22,61.7435798221,67.0369714517,70.8590648313,76.1386783139,74.0279650279
23,42.6407115695,49.130736879,65.0635195807,60.0219748004,60.3127341865
24,65.2609007534,71.0385716588,77.0218008484,78.1585120007,79.8905124288
25,63.1670200264,56.5328520815,60.7808884147,59.3238937333,57.9618731959
26,56.330853591,68.845897483,71.1847822034,68.8655180446,70.2649067129
27,69.9052306323,69.9190074571,71.7419039788,69.4392887592,70.3549295949
28,53.0229721701,60.0473636219,65.9371619977,65.1448628533,68.9364663437
29,69.8845762246,40.5082180838,74.3769147295,70.5024032035,66.931305307
30,73.4182376115,80.1821933205,80.2334456817,79.509750569,79.509750569
31,38.9202215287,31.2836922712,31.2914091379,34.1657328517,34.905937149
32,65.7976248895,60.2218581212,69.555550704,74.4895247749,76.394860382
33,71.8315237226,69.3449261146,76.6934221453,69.3449261146,79.4552678604
34,67.3976837563,71.9890734548,67.1447231949,72.870224174,70.6902164466
35,62.175782026,59.4690090267,69.971450969,70.7677710542,64.154070302
36,81.870974217,84.0709827052,69.7248418302,69.7248418302,80.1624046243
37,64.4422099009,72.0245919008,75.1618607402,75.9922579496,78.586638596
38,72.6179613078,75.4825779152,86.1498115457,84.270786839,84.9700095912
39,81.0268942431,86.4253784978,81.1620464743,83.1820486356,86.1891343641
40,30.3488387666,24.7911395079,74.9555398447,68.0281697794,75.5635075512
41,61.4343669256,64.2191693847,56.7180999444,57.5255299874,55.6889584378
42,67.8356778826,66.1500328979,74.0355540825,65.1987135191,72.0770608758
43,74.4212361748,73.8513750915,75.8535433088,76.9074112551,79.8600989788
44,49.4233121534,54.1801066635,68.3823937841,69.9844354444,69.3712914427
45,78.4926358937,75.3624467233,81.0895178133,82.0958327444,83.4573973469
46,55.1163196742,51.0952133466,59.1990357403,59.2878606746,55.4938566027
47,60.3373167622,62.69035421,77.6952738861,79.6810270228,78.5971082477
48,71.2871199226,76.7165920488,73.1989407163,77.095382372,78.4250477829
49,74.8184072926,78.2175778387,72.8597066274,72.8597066274,77.9012408272
50,74.3684534452,79.3801432694,80.6518792079,76.1008350776,72.1682932441
51,22.9461974449,57.8888764423,66.0241754018,50.9041942546,53.330634119
52,63.5638984845,60.6971105275,64.9577786405,68.5945159247,69.5386838975
53,66.3248880116,71.0472423738,70.0056481403,71.6098403076,73.5164365001
54,63.6092318471,79.0305982009,76.0293771465,75.7121471703,73.7743696077
55,36.0035446198,48.8226779341,48.2126010336,47.775339807,42.5502331957
56,70.051788895,74.4849502366,75.7529187476,72.6294520812,73.5056742058
57,64.2950745618,69.8610114979,77.0626966874,82.0502802893,80.9645615184
58,52.4467465782,52.4467465782,61.5211122925,63.5046096048,62.9059874364
59,60.5151329573,62.1351991887,62.2616900737,62.7779321734,61.6927793041
60,60.1437272857,52.7474738017,56.0855924032,56.6509202643,58.3584863462
61,70.0081477853,64.1128373549,75.5772649681,68.2747393199,72.9604079986
62,66.8945233715,70.4396537264,69.8821200674,72.9479558456,71.6771826216
63,81.869371149,79.0963138242,78.1517324195,78.4390720273,77.7500568997
64,57.4989469994,64.7819299218,65.0960844104,63.321472737,64.6551026774
65,75.6105477313,73.0165619689,78.3948619172,64.7502375386,74.883998835
66,80.0361322231,78.2415133032,78.083925778,78.1982451275,76.0366725814
67,78.2431235562,76.1563343062,74.5845831979,74.9777215995,79.0574063304
68,77.7633976632,74.9052148931,67.136249563,76.3336907896,81.5809236471
69,64.3409126568,58.8499124606,54.8887192782,50.1081399425,52.1324016064
70,67.9974890305,76.1169852714,77.6641416589,75.018000324,75.018000324
71,55.0697680988,59.4518016246,49.7382044355,50.5866706915,56.0105226788
72,43.3146014524,45.5043727871,54.3160178044,53.4815511335,55.7756108571
73,39.8650679835,40.7280340599,47.4788261385,47.2333035874,47.5652184153
74,81.5494175255,75.7403464839,77.7070878017,68.685533118,75.5049266362
75,74.242912381,73.0150861022,68.8761301436,73.0649608616,72.9960069737
76,70.3669263979,66.1723778375,75.0971868965,81.0371429436,80.53611573
77,75.8829531394,79.6911774388,76.5934492761,78.665779507,77.742514853
78,70.9457802074,74.9579282963,74.3567975697,75.6391979572,76.2340058058
79,58.4790902469,62.3286065461,55.7713396842,56.4109467072,47.7561785888
80,56.4363335043,57.0246160349,56.2497746592,62.3069628084,60.9022081876
81,72.0209290703,73.0632496441,73.2763708657,78.4514658665,75.8838649942
82,72.7333137863,76.3143027996,76.9641739026,86.0484735285,87.011554341
83,70.4242967662,84.6670624023,82.5639823631,82.9938498967,82.7306264471
84,62.7991575833,66.5905042542,71.2107698577,73.1707383112,69.6330906282
85,61.5922911766,66.346335866,70.7773792792,70.5016361865,70.5199462489
86,70.7196388913,79.122758916,82.1545174623,82.1191236714,81.3833124053
87,79.4936693357,77.8632544738,71.0391660459,73.7611675403,76.2325163245
88,42.8470202033,55.7429809283,56.1027984422,51.5260324183,56.5157859033
89,67.1134600426,79.1240248511,84.7449912832,84.3927330663,84.6080268123
90,73.0890761889,73.7735981704,67.2257814919,69.4683557107,69.4683557107
91,74.1674225888,66.9014981736,77.6035293705,77.6035293705,79.5550246954
92,46.804343335,64.2697881506,63.8373975587,66.3152459353,68.1756909976
93,66.9748151058,66.9748151058,82.0387801749,78.3567369733,82.8475842731
94,47.1928132013,57.6309115801,59.77319236,55.1669034085,54.0261638985
95,56.0419868098,53.3083998098,82.3063432248,80.309928345,81.3629912801
96,77.2988282497,76.7438004903,79.3946388495,75.0656777834,71.5097207053
97,68.7373621527,67.4801339843,67.106097906,70.4816849522,80.3519962762
98,50.5363004986,53.5660539,72.4917240056,79.5412084156,80.8989963275
99,53.1426648162,63.612396429,63.3561779358,63.2776680428,61.474039523
