,aggregate_1,aggregate_2,aggregate_3,aggregate_4,aggregate_5,aggregate_6,aggregate_7,aggregate_8,aggregate_9,aggregate_10,aggregate_11,aggregate_12,fraction_1,fraction_2,fraction_3,fraction_4,fraction_5,fraction_6,fraction_7,fraction_8,fraction_9,fraction_10,fraction_11,fraction_12,fraction_13,fraction_14,fraction_15,fraction_16,fraction_17,fraction_18,fraction_19,fraction_20,fraction_21,fraction_22,fraction_23,fraction_24,hvac_1,hvac_2,hvac_3,hvac_4,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,hvac_10,hvac_11,hvac_12,fridge_1,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,fridge_10,fridge_11,fridge_12,wm_1,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9,wm_10,wm_11,wm_12,furnace_1,furnace_2,furnace_3,furnace_4,furnace_5,furnace_6,furnace_7,furnace_8,furnace_9,furnace_10,furnace_11,furnace_12,dw_1,dw_2,dw_3,dw_4,dw_5,dw_6,dw_7,dw_8,dw_9,dw_10,dw_11,dw_12,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_8,dr_9,dr_10,dr_11,dr_12,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,mins_hvac,autocorr,max_seasonal_12,stdev_seasonal_12,max_trend_12,stdev_trend_12,max_seasonal_daily,stdev_seasonal_daily,max_trend_daily,stdev_trend_daily,max_seasonal_weekly,stdev_seasonal_weekly,max_trend_weekly,stdev_trend_weekly,disag_fridge,cluster_small,cluster_big,lt_500,bet_500_1000,gt_1000,temperature_corr,daily_usage_1,daily_usage_2,daily_usage_3,daily_usage_4,daily_usage_5,daily_usage_6,daily_usage_7,seasonal_energy_5,seasonal_energy_6,seasonal_energy_7,seasonal_energy_8,seasonal_energy_9,seasonal_energy_10,fft_1,fft_2,fft_3,fft_4,fft_5,area,num_rooms,total_occupants
26,534.915893555,408.059631348,401.902648926,501.315460205,972.204406738,1459.76623535,1376.04943848,1734.19555664,1435.45336914,1043.31774902,726.693359375,813.220214844,0.910287737846,0.871589243412,0.816419959068,1.0,0.738791942596,0.44922554493,0.264632463455,0.175800055265,0.121992006898,0.0865344703197,0.0693515762687,0.0676959529519,0.117008268833,0.0197393540293,0.0,0.00777081726119,0.0440858304501,0.0623712278903,0.146392449737,0.333196401596,0.489571750164,0.386418610811,0.324247181416,0.53896433115,8.06094074249,2.26819109917,16.5326366425,47.9294433594,252.918914795,624.465026855,639.564880371,821.793701172,582.372009277,263.120178223,47.6716575623,0.548062980175,0.0,0.0,0.0,0.0,0.0,0.0945539996028,0.0,0.0,0.0,0.0,30.697971344,46.7932319641,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0338554382,26.9863109589,0.0,0.0,0.0,0.0,0.0,0.0163880009204,0.0,0.0,0.0,0.0,7.80356121063,10.5904226303,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.102577999234,0.0,0.0,0.0,0.0,46.1503944397,140.311767578,72423.0,0.521017126283,100.711888283,45.1306094507,6755.30277507,1113.92053166,1619.10490476,661.326512123,3230.34373824,655.072516731,1843.28611323,720.78111933,2557.51611732,608.956597752,2078512.0,104.377741172,2010.8366574,0.781301883552,0.0658956890136,0.152802427435,0.670016085351,1132.21740723,1225.86633301,1158.63366699,1268.09838867,1238.66906738,1480.94958496,1455.2232666,2768429.53178,2791619.0397,2838099.67475,2734900.14312,2805084.21942,2752976.48569,204.089227454,62.7543053095,51.0297909765,19.9069735125,14.2654803756,2047.0,6.0,4.0
94,559.812927246,385.641143799,419.379150391,380.643280029,430.320739746,587.913879395,644.695800781,465.078521729,588.891967773,406.837554932,339.011505127,316.998596191,0.593638777733,0.754267394543,0.90062969923,1.0,0.997708082199,0.668108582497,0.530056536198,0.348387211561,0.278717517853,0.223387524486,0.20737823844,0.286408632994,0.25875082612,0.201244011521,0.0831223130226,0.0,0.0346009768546,0.0921469405293,0.0817997381091,0.120367251337,0.124053440988,0.171781256795,0.559246718884,0.525386452675,1.13315200806,0.000339999998687,0.0525810010731,1.94191002846,35.3420982361,118.666191101,129.481460571,88.7382354736,104.127075195,25.6043300629,3.37774705887,3.2244579792,48.3241157532,40.6596984863,47.6957435608,49.9066123962,57.8110351562,58.6554908752,61.851524353,64.0620346069,60.3739547729,57.1977233887,47.9228973389,46.7512588501,2.28976392746,0.916231989861,2.47086501122,4.16430330276,1.54771399498,2.11342310905,2.04078197479,1.69704198837,3.41900610924,0.84549498558,4.26057386398,2.0916800499,22.8770866394,13.0824689865,11.8903779984,18.0380382538,18.5330257416,28.6680698395,30.9687652588,23.5153865814,27.2404098511,12.8856945038,10.6612100601,24.7054042816,4.95278024673,1.0578930378,1.95085203648,3.95969104767,4.38972330093,1.52063298225,2.47878694534,0.650335013866,3.0940849781,5.3923830986,2.30440115929,5.24841022491,12.9183511734,9.36740779877,9.1910161972,10.7425889969,11.020980835,6.3555688858,6.49508810043,2.93700504303,9.93204593658,4.26788425446,10.7600650787,17.1886825562,,,,,,,,,,,,,28509.0,0.378661377626,42.4789656744,19.4150064199,3834.30001322,436.239793314,514.163603147,230.487570835,1654.51319965,232.776309188,669.993481228,262.406837553,1031.78571393,175.289382274,1898458.0,99.2118339942,1470.42876802,0.839109334856,0.114616043391,0.0462746217528,0.566321549463,586.569580078,569.009155273,608.466064453,565.716918945,568.486816406,715.297729492,717.13684082,1174903.13748,1186026.04906,1193792.11452,1163694.1257,1183468.6949,1163499.66604,184.145853732,64.483948238,30.4408578828,17.3680478415,26.458536312,1713.0,3.0,2.0
252,1455.10229492,806.494140625,1240.78515625,1385.44580078,2350.59033203,2997.53393555,2261.58813477,2258.89208984,1832.88696289,1322.90307617,1102.99060059,1119.47998047,1.0,0.920185565948,0.764818131924,0.559941589832,0.315538197756,0.186198696494,0.131643846631,0.107274323702,0.0916499570012,0.0545659996569,0.0,0.00723074236885,0.09628546983,0.222984209657,0.340577989817,0.45745486021,0.501399159431,0.487806975842,0.523877561092,0.546683490276,0.665424048901,0.770543992519,0.829505503178,0.955478847027,1.13315200806,0.000339999998687,0.0525810010731,1.94191002846,35.3420982361,118.666191101,129.481460571,88.7382354736,104.127075195,25.6043300629,3.37774705887,3.2244579792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54560328501,26.8202645181,18.7010997604,8130.68064372,1472.30568997,1156.35769142,644.112065271,5587.84203339,1034.86261374,2215.70676871,720.927988238,5064.31989361,912.155520409,2317450.0,106.892478333,2038.03251426,0.65903511276,0.138424207822,0.202540679418,1.01270996129,2123.25244141,2246.86694336,2258.7722168,2537.95019531,2229.69726562,2166.60327148,2214.49829102,3226927.23166,3335437.44851,3361952.25624,3223855.5679,3373067.56173,3235497.2127,177.090243377,42.4290871721,30.2900926339,10.3838066946,5.07519525101,2700.0,4.0,4.0
370,879.270324707,807.491271973,756.234924316,771.024353027,1302.82971191,1909.64135742,1948.6895752,2658.14990234,1965.10839844,1365.27941895,964.706359863,762.09362793,0.931329607964,0.900840699673,0.948758661747,0.881216108799,1.0,0.798119008541,0.471984028816,0.217738360167,0.0530085153878,0.0,0.0803850367665,0.107348881662,0.146856576204,0.185297325253,0.414315521717,0.529440999031,0.58132058382,0.614453434944,0.704347133636,0.830171465874,0.923002719879,0.7687458992,0.774935424328,0.828061163425,1.43208003044,1.45193600655,1.62455403805,2.10760903358,275.581604004,815.937805176,833.662353516,1169.24938965,783.030151367,333.768096924,37.9759941101,1.67703306675,48.1593513489,45.6737632751,47.8109016418,46.7073974609,47.8599662781,44.2533111572,53.1141395569,52.1665916443,49.6650772095,49.9816169739,45.9724197388,7.94981193542,4.97756624222,5.49982309341,6.4215631485,7.1338801384,5.45917606354,5.68599033356,5.40948486328,4.89506530762,3.8436319828,5.21944189072,10.1617164612,1.49353504181,30.081993103,25.1274452209,19.622335434,32.9120864868,95.7402114868,241.520019531,308.036682129,413.595733643,287.24621582,154.779907227,35.1201629639,7.53598117828,17.2137069702,20.5170459747,15.9066619873,12.8609256744,26.1435871124,14.3517570496,9.24679279327,18.5798435211,8.787317276,9.72379589081,16.9679374695,2.65167713165,48.9840202332,61.0372619629,56.9575996399,72.6376190186,62.749042511,71.798789978,59.6843986511,55.2547454834,42.4658126831,46.7699584961,112.047492981,14.7927885056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104339.0,0.505477757929,35.5402689672,20.8530678037,7365.60552979,1337.03923427,705.017689937,478.360700191,4714.92011388,979.067749741,1252.43766713,520.984937511,3860.15431885,891.149468237,2128680.0,113.984442919,1624.4640379,0.729717385098,0.108364259206,0.161918355695,0.906966552413,1841.04907227,1740.02062988,1710.58972168,1735.66809082,1832.40124512,1889.79431152,1860.25622559,3049037.32456,3126323.20571,3140544.59324,3045021.46919,3114992.16861,3053290.78983,181.399043169,66.3538772212,28.6957602589,12.5806243848,21.9888981494,2682.0,8.0,2.0
410,347.214996338,239.300384521,235.6953125,271.780029297,430.639709473,775.190307617,889.972717285,998.072265625,682.868774414,444.452026367,334.632080078,542.285644531,0.643914878368,0.502023339272,0.540866553783,0.708221852779,1.0,0.470362335443,0.240253195167,0.171631217003,0.127835169435,0.103758238256,0.067731462419,0.0422622188926,0.0,0.0849839895964,0.0888266339898,0.0317522510886,0.0190017819405,0.0458102039993,0.0225694961846,0.10141017288,0.297751575708,0.343763053417,0.412141084671,0.535719513893,0.167433008552,0.136815994978,0.949160993099,11.7707834244,145.884658813,459.6378479,511.527160645,589.161743164,333.388153076,101.821739197,0.132464006543,0.159341007471,26.8555965424,24.4879055023,27.7873325348,34.9481582642,43.9401550293,44.9379386902,46.7652320862,49.4038200378,44.7773704529,51.341342926,40.0786743164,49.1758651733,,,,,,,,,,,,,35.0479469299,15.2577724457,12.9442596436,8.5684595108,28.3679847717,75.4300689697,84.1133651733,93.729888916,56.6297035217,19.9620285034,16.8829212189,41.1496734619,,,,,,,,,,,,,107.803634644,68.1294937134,76.2138748169,62.6072273254,17.4479846954,1.42891800404,1.70110499859,48.13621521,51.4464035034,57.3168945312,79.4954147339,88.3503265381,,,,,,,,,,,,,42706.0,0.298126393334,43.6900151073,25.0467850033,5408.67777507,677.862672441,969.353569868,283.718718424,2273.30660025,425.307331111,1314.57462832,339.265839686,1655.2444425,366.531659575,1887364.0,95.6065109298,2122.87256537,0.832857550671,0.0465600913503,0.120582357979,0.638315096075,670.413208008,659.902587891,695.817687988,676.21661377,658.102661133,799.106201172,693.199584961,1308234.56235,1335196.38672,1344163.36391,1295384.6403,1336326.83185,1305353.88444,134.496690153,40.26618121,25.4782333014,30.7148233485,19.8967672043,1299.0,8.0,2.0
545,699.864013672,670.649719238,754.993286133,696.883361816,1226.83410645,1940.21508789,1791.53942871,2202.53149414,1438.03234863,1099.36645508,573.181884766,800.50012207,0.726354300976,0.619587540627,0.487047582865,0.257457226515,0.140310153365,0.0596840381622,0.0115470960736,0.029468556866,0.0633032470942,0.175598829985,0.223309889436,0.0,0.026427866891,0.0719455033541,0.155550554395,0.206405565143,0.323320746422,0.463714838028,0.556382238865,0.737204015255,0.904831767082,1.0,0.98573577404,0.912321925163,4.56694793701,1.54064202309,32.2791938782,108.417007446,379.72354126,955.640014648,890.840698242,1146.28417969,707.87322998,337.926300049,8.04596424103,1.80631804466,37.5438537598,35.6025924683,41.9303474426,40.2389335632,48.8307991028,53.9377365112,56.7508468628,57.4432373047,50.8983917236,52.1688690186,38.2020759583,28.4170131683,9.41167640686,10.6369342804,12.7620534897,9.10946750641,12.6376981735,13.2664089203,7.24244213104,15.4200878143,6.89319419861,11.1660423279,4.4907541275,10.9136428833,64.0130386353,25.6887512207,34.2506141663,48.8469848633,144.602310181,289.68069458,271.705383301,332.902374268,223.565032959,121.765716553,49.5931663513,91.9996337891,16.5520172119,16.4683933258,18.1248893738,12.4921445847,18.0270900726,15.841501236,12.6292495728,18.67927742,13.1806106567,19.2509021759,8.89873504639,17.1080360413,,,,,,,,,,,,,,,,,,,,,,,,,98437.0,0.54378040956,50.7727526368,24.8979512483,7883.16668701,1248.4112903,1224.65104681,634.707593657,3883.4083341,838.588487603,1710.58518472,658.504220472,3357.51384045,768.438945312,2148030.0,99.6895459402,1706.24150504,0.681530117043,0.1682272338,0.150242649158,1.05518910273,1561.45715332,1522.76489258,1658.59899902,1533.59448242,1614.46350098,1559.77172852,1437.5838623,2706720.92612,2813747.78905,2811352.50899,2705827.21163,2813843.28183,2729321.56939,211.730267768,76.4334167679,13.4299531522,22.1378477534,10.4261474652,2445.0,12.0,2.0
624,509.132843018,258.300506592,239.295806885,266.671600342,368.332214355,613.53717041,808.440368652,768.58013916,602.243774414,389.846801758,406.7762146,727.159973145,0.764201760292,0.647366344929,0.537695586681,0.460832595825,0.204442635179,0.104766048491,0.0455352142453,0.0209887772799,0.0214342027903,0.0,0.0238075628877,0.261506199837,0.486529409885,0.349798828363,0.214770689607,0.20735861361,0.307565689087,0.316641360521,0.318370133638,0.346025496721,0.593668401241,0.681122899055,1.0,0.895345747471,178.755523682,8.7733259201,0.000153000000864,10.3613471985,78.7397537231,315.469696045,416.251861572,420.38104248,263.172515869,59.0225563049,73.328704834,190.232437134,29.4299411774,29.8367176056,33.2271308899,35.1390838623,39.6250953674,40.4487113953,39.1233596802,43.9896240234,41.674156189,42.1280250549,31.2605018616,16.8868999481,2.56688094139,2.27759194374,2.08299303055,2.25442099571,2.49993515015,2.02486991882,2.40728497505,2.35246014595,2.43548798561,2.48052096367,2.22244405746,1.13231897354,27.5760231018,15.4277553558,13.4021034241,18.1507987976,27.1548309326,47.5517196655,72.0277633667,60.9927368164,42.518497467,30.8610019684,26.7271957397,24.5199680328,22.1898784637,21.830499649,18.2570304871,22.8358955383,20.8881893158,19.2808055878,14.7384567261,20.9435405731,22.9025192261,20.1369590759,0.869890034199,6.68989133835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09971904755,0.0974610000849,11.3849172592,69.3731918335,57.415763855,55.0268440247,56.7032623291,65.651008606,59.8840942383,72.0210266113,68.1798934937,79.6134643555,47.6071243286,16.5378379822,9.9491481781,59696.0,0.397355782359,25.9112773708,14.1486408688,6849.99727376,526.42716186,488.026059973,220.682900266,2633.40592241,349.615009985,695.557894217,231.725877366,1628.06805976,298.851441256,1932084.0,92.2158508769,1444.27069513,0.767799029403,0.135369683129,0.0968312874679,1.02402494702,655.622680664,642.375427246,671.169555664,655.095703125,646.949462891,710.033325195,688.204650879,1030586.49949,1054188.04854,1059157.00304,1023832.03303,1054670.87703,1029215.3123,169.790639077,90.5534231198,21.1014793175,7.51152315761,22.7496771765,2100.0,7.0,4.0
871,593.218200684,510.632568359,572.938659668,576.606506348,638.709106445,889.021362305,865.280822754,1017.44390869,758.514038086,528.754821777,574.11328125,692.386047363,0.696937143803,0.934738636017,0.964642345905,0.939698576927,0.579830110073,0.292937427759,0.129900097847,0.0614690035582,0.0320618413389,0.000943352584727,0.0,0.232467368245,0.614228844643,0.914285719395,0.653030872345,0.481792777777,0.605839192867,0.597415804863,0.595661103725,0.464363008738,0.48155233264,1.0,0.961638987064,0.882874965668,28.8109035492,26.1160469055,28.8948669434,28.1364631653,81.0820617676,303.241821289,329.422332764,422.175384521,266.699188232,79.8574676514,33.912689209,29.4484195709,35.0636062622,64.7787017822,78.8588867188,78.5475463867,43.6383705139,0.523667991161,0.214285001159,0.704632997513,45.9373855591,68.3160324097,58.5562782288,54.3939323425,1.06773602962,2.06561899185,2.28775811195,3.16716814041,2.2803800106,1.90796101093,1.84706699848,2.41894698143,1.89006006718,1.31869006157,2.09215593338,3.16048693657,14.2952318192,23.5594673157,19.9823951721,14.1886253357,24.1822967529,72.302772522,79.534538269,92.4621887207,64.8102416992,19.8323020935,25.7153224945,47.1081047058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75581645966,11.4817657471,22.4505062103,19.9249687195,19.3538379669,45.6210975647,63.0253601074,63.4202842712,48.5263824463,40.9201049805,34.2613067627,51.981174469,39.6478614807,39.8551063538,67.6257629395,91.0013275146,13.9118146896,33.8252906799,31.6956501007,45.8072166443,59.242893219,70.2065658569,62.7899589539,67.2906570435,15.2242479324,0.0,0.0,0.0,44673.0,0.243517602855,94.8558550593,36.0175582337,5636.67223104,671.586414266,550.51860314,278.405626581,2088.38748948,334.859446725,1021.23694302,368.195695489,1698.39349942,241.459994372,2099440.0,98.1043925945,1657.79439575,0.67619183557,0.114930059949,0.208878104482,1.10825777164,857.69708252,834.757141113,898.973754883,883.855773926,925.773681641,1032.73925781,1007.29980469,1719034.91223,1740130.55854,1763198.57123,1704248.32404,1741315.77004,1713219.80645,120.636232814,83.433785265,29.399005227,20.2055045518,36.6515188761,1652.0,8.0,4.0
1169,563.075317383,388.092285156,484.547607422,387.390625,531.063964844,1082.44616699,989.381469727,851.158447266,776.004394531,517.094909668,428.084625244,374.37210083,0.911847472191,0.821060299873,0.663018643856,0.517748057842,0.29078450799,0.127466544509,0.0672987774014,0.0297673437744,0.00846175663173,0.0,8.36205072119e-05,0.00940195471048,0.0896882638335,0.121978394687,0.144698873162,0.21742670238,0.305436640978,0.446569174528,0.757940530777,0.634279072285,0.618050813675,1.0,0.952915072441,0.946746587753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6843931675,0.788901984692,0.815456032753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453125,41.6059036255,33.0321388245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152235001326,0.663765013218,0.123929999769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32234406471,13.7607011795,27.7850208282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62111997604,3.2001991272,1.60262405872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51756286621,11.3467521667,12.3444480896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20127677917,18.7828063965,15.9828901291,0.0,0.378127018022,56.740946436,32.5988251676,6110.26670329,759.742714145,668.802029405,388.423457937,2518.13888359,422.951723741,1012.86394522,410.912589867,1849.76061549,374.049661192,1891690.0,93.7994538162,1668.2671044,0.842870638079,0.0612315003006,0.0958978616208,0.999497989093,770.07421875,816.09197998,807.213256836,862.778137207,829.735595703,872.631713867,835.523498535,1525486.68481,1562263.39347,1577090.59593,1515632.35144,1570148.28751,1528151.59705,233.174210258,39.4154684764,13.7758208042,8.82921610168,15.8142241771,1430.0,6.0,2.0
1283,887.49029541,864.846069336,815.372131348,712.561523438,1104.25756836,1137.18481445,1371.61865234,2111.50805664,1674.86315918,1175.38696289,781.008544922,825.588012695,0.932614982128,0.761331558228,0.623803436756,0.520800948143,0.411196649075,0.321352541447,0.218445748091,0.129478752613,0.0725199729204,0.0360737815499,0.0202415511012,0.0103655820712,0.108661077917,0.0251642931253,0.0,0.0479955710471,0.111189939082,0.186901822686,0.283497840166,0.455842494965,0.652554214001,0.804863095284,0.912345349789,1.0,0.0714510008693,0.0746470019221,9.49007987976,74.5857009888,371.440917969,506.097961426,679.166748047,1222.64916992,886.456604004,423.111114502,31.7783889771,0.108817003667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0448799990118,0.143428996205,0.338232010603,0.263669997454,0.357136011124,0.492711007595,0.292434006929,0.0685269981623,0.417520016432,0.253011018038,0.0869719982147,0.0469370000064,,,,,,,,,,,,,81842.0,0.647778132512,21.3970880015,12.4900884044,5971.65547689,924.285833829,718.237156719,369.483222925,4264.51803843,655.271175662,982.546341784,392.906727311,3270.53328237,587.973650517,2043024.0,117.268020637,1452.87473556,0.678846702826,0.17844704539,0.142706251784,0.815272868713,1405.67138672,1528.93701172,1576.4395752,1585.23352051,1530.25891113,1488.56311035,1432.9161377,1720698.99227,1786960.7769,1795302.25911,1712049.15533,1804888.1621,1733889.15606,216.117805682,58.0687475653,20.4835915591,4.56897383733,1.76660171934,2500.0,10.0,5.0
