,dr,dw,fridge,hvac,light,wm
2,,32.921665717,67.0568454076,,36.6199406784,52.9977580639
3,,33.2701495561,68.0549076851,,37.3449237339,52.7704551707
4,,32.4454921704,67.3865258517,,36.3124467541,54.0688975136
5,40.2849694636,34.8867097445,67.2693796424,,38.2617053483,55.2368315231
6,40.5997213352,35.781557673,69.0250435404,69.7408314925,37.8946395338,56.4807066391
7,40.0931686965,37.028010006,69.7145409182,72.4259901026,40.8022417746,57.1179065415
8,40.0494720508,35.0011441489,71.4419916853,73.5464517484,39.8118489813,58.5370972783
9,41.1974354302,37.6929686455,70.9588839954,75.5002942879,39.5207716866,58.9626595193
10,42.1935390137,38.0872710796,71.4714096674,76.1960861353,41.3068233072,59.6828384489
11,41.4119421096,37.4379339519,72.2091646054,76.6180559117,49.3573847857,60.1288670604
12,42.1785257239,39.4302778643,73.3727704149,76.8184196168,49.3573847857,60.1219872442
13,41.8621634214,40.2383638411,74.0208589377,77.9928157718,49.3573847857,60.8925778356
14,41.7457352469,44.0349621466,74.6943882429,78.4611459166,49.3573847857,66.4437811861
15,42.9654438445,44.890837502,73.5843680469,78.3478748024,49.3573847857,66.4437811861
16,42.8918271946,45.2032607174,74.6556700414,78.7281043062,49.3573847857,66.4437811861
17,42.4266524247,44.9093888867,75.1342352567,79.370795351,49.3573847857,66.4437811861
18,43.1414215838,44.2776102234,79.4998511944,79.5952958939,49.3573847857,66.4437811861
19,45.365500504,45.4623037339,79.8357245654,79.708529635,49.3573847857,66.4437811861
20,46.0937058384,45.4623037339,79.2536083688,80.1356324419,49.3573847857,66.4437811861
21,46.8053045965,45.4623037339,79.4998511944,80.0855265489,49.3573847857,66.4437811861
22,46.6237112186,44.9093888867,79.4775239495,80.3537930752,49.3573847857,66.4437811861
23,46.6237112186,45.1684319032,79.2536083688,80.4583042909,49.3573847857,66.4437811861
24,46.5708072816,45.1684319032,79.2536083688,80.2072522717,49.3573847857,66.4437811861
25,46.6237112186,45.7561755645,79.4998511944,80.4293792758,49.3573847857,66.4437811861
26,46.6766151556,45.1684319032,79.2536083688,81.0564774179,49.3573847857,66.4437811861
27,46.6766151556,45.2032607174,79.4775239495,80.2758856152,49.3573847857,66.4437811861
28,46.6237112186,45.7561755645,79.4998511944,83.2181373497,49.3573847857,66.4437811861
29,46.6237112186,44.2684040357,79.2536083688,83.2181373497,49.3573847857,66.4437811861
30,46.6237112186,45.1592257154,79.2536083688,83.2181373497,49.3573847857,66.4437811861
31,46.6237112186,44.8745600725,79.4998511944,83.2181373497,49.3573847857,66.4437811861
32,46.6237112186,45.1684319032,79.2536083688,83.2181373497,49.3573847857,66.4437811861
33,46.5708072816,45.4623037339,79.6118089847,83.2181373497,49.3573847857,66.4437811861
